Title,MapType,MatchMode,Priority,OutputCode,FolderName,Active
2028-07-08,FiscalWeek,Token,0,2028-W23,,Yes
2028-07-15,FiscalWeek,Token,0,2028-W24,,Yes
2028-07-22,FiscalWeek,Token,0,2028-W25,,Yes
2028-07-29,FiscalWeek,Token,0,2028-W26,,Yes
2028-08-05,FiscalWeek,Token,0,2028-W27,,Yes
2028-08-12,FiscalWeek,Token,0,2028-W28,,Yes
2028-08-19,FiscalWeek,Token,0,2028-W29,,Yes
2028-08-26,FiscalWeek,Token,0,2028-W30,,Yes
2028-09-02,FiscalWeek,Token,0,2028-W31,,Yes
2028-09-09,FiscalWeek,Token,0,2028-W32,,Yes
2028-09-16,FiscalWeek,Token,0,2028-W33,,Yes
2028-09-23,FiscalWeek,Token,0,2028-W34,,Yes
2028-09-30,FiscalWeek,Token,0,2028-W35,,Yes
2028-10-07,FiscalWeek,Token,0,2028-W36,,Yes
2028-10-14,FiscalWeek,Token,0,2028-W37,,Yes
2028-10-21,FiscalWeek,Token,0,2028-W38,,Yes
2028-10-28,FiscalWeek,Token,0,2028-W39,,Yes
2028-11-04,FiscalWeek,Token,0,2028-W40,,Yes
2028-11-11,FiscalWeek,Token,0,2028-W41,,Yes
2028-11-18,FiscalWeek,Token,0,2028-W42,,Yes
2028-11-25,FiscalWeek,Token,0,2028-W43,,Yes
2028-12-02,FiscalWeek,Token,0,2028-W44,,Yes
2028-12-09,FiscalWeek,Token,0,2028-W45,,Yes
2028-12-16,FiscalWeek,Token,0,2028-W46,,Yes
2028-12-23,FiscalWeek,Token,0,2028-W47,,Yes
2028-12-30,FiscalWeek,Token,0,2028-W48,,Yes
2029-01-06,FiscalWeek,Token,0,2028-W49,,Yes
2029-01-13,FiscalWeek,Token,0,2028-W50,,Yes
2029-01-20,FiscalWeek,Token,0,2028-W51,,Yes
2029-01-27,FiscalWeek,Token,0,2028-W52,,Yes
2029-02-03,FiscalWeek,Token,0,2028-W53,,Yes
